year;country_id_o;country_id_d;distw_harmonic;distw_arithmetic;dist;distcap;contig;comlang_off;comcol;comrelig;pop_o;pop_d;gdp_o;gdp_d;pop_pwt_o
1948;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;;;;;
1949;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;;;;;
1950;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;1171,897;4117,617;;;
1951;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;1194,973;4173,095;;;
1952;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;1219,113;4232,095;;;
1953;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;1244,363;4293,84;;;
1954;TGO;AGO;2250;2270;2126;2126;0;0;0;0,213368997;1270,771;4357,527;;;
1955;TGO;AGO;2259;2279;2126;2126;0;0;0;0,213368997;1298,389;4423,223;;;
1956;TGO;AGO;2259;2279;2126;2126;0;0;0;0,213368997;1327,27;4490,992;;;
1957;TGO;AGO;2259;2279;2126;2126;0;0;0;0,213368997;1357,445;4561,361;;;
1958;TGO;AGO;2259;2279;2126;2126;0;0;0;0,213368997;1388,973;4635,885;;;
1959;TGO;AGO;2259;2279;2126;2126;0;0;0;0,213368997;1421,772;4714,676;;;
1960;TGO;AGO;2268;2288;2126;2126;0;0;0;0,213368997;1580,513;4965,988;121128,072;;1568,119995
1961;TGO;AGO;2268;2288;2126;2126;0;0;0;0,213368997;1597,528;5056,688;126396,472;;1606,209961
1962;TGO;AGO;2268;2288;2126;2126;0;0;0;0,213368997;1612,758;5150,076;132237,472;;1645,883057
1963;TGO;AGO;2268;2288;2126;2126;0;0;0;0,213368997;1631,763;5245,015;143255,808;;1687,212036
1964;TGO;AGO;2268;2288;2126;2126;0;0;0;0,213368997;1662,072;5339,893;166104,08;;1730,097046
1965;TGO;AGO;2253;2274;2126;2126;0;0;0;0,213368997;1708,632;5433,841;187300,304;;1774,781006
1966;TGO;AGO;2253;2274;2126;2126;0;0;0;0,213368997;1774,029;5526,653;216136,224;;1821,166992
1967;TGO;AGO;2253;2274;2126;2126;0;0;0;0,213368997;1855,445;5619,643;231706,448;;1869,324951
1968;TGO;AGO;2253;2274;2126;2126;0;0;0;0,213368997;1945,781;5715,372;241956,912;;1919,332031
1969;TGO;AGO;2253;2274;2126;2126;0;0;0;0,213368997;2034,909;5817,283;267732,48;;1971,465942
1970;TGO;AGO;2235;2256;2126;2126;0;0;0;0,213368997;2115,521;5928,087;253976,592;;2115,521973
